,platform_num,date,content
160,4,2019-02-18,산업공학과도 신소재처럼 이름좀 바꾸자
161,4,2022-01-14,숭실대 기계공학과 vs 아주대 산업공학과
162,4,2021-02-28,산업공학과 석사따고 r&d로 가는거 어려워요?
163,4,2020-05-23,산업공학과 건축학과 토목공학과
164,4,2019-04-14,산업공학과 개븅신학과야
165,4,2021-11-07,건축학과vs산업공학과vs기계공학과vs데이터학과
166,4,2020-10-19,산업공학과 면접은 뭐 물어보냐..
167,4,2021-04-13,올해 입학한 지거국 산업공학과 학생인데 너무 막막합니다
168,4,2019-10-26,안전 및 산업경영공학과
169,4,2019-11-15,애들아 산업공학과로 와라 ㅋㅋ
170,4,2021-10-18,산업공학과 나오면 취업 프리패스냐?
171,4,2019-11-16,애들아 산업공학과로 와라 ㅋㅋ
172,4,2019-01-30,산업공학과 무시하지말아줘 
173,4,2019-03-19,"성대 기계공학과,산업통상자원부가 지원하는 전문인력양성사업 선정"
174,4,2020-06-21,현재 산업공학과 1학년인데 딸 자격증들인데 평가좀
175,4,2020-02-01,지거국 산업공학과 나름 ㅍㅅㅌㅊ 아님?
176,4,2022-01-17,산업공학과 자퇴생 많나요?
177,4,2020-09-16,전대 산업공학과vs인공지능학부(신설)vs컴퓨터정보통신공학
178,4,2020-04-20,산업공학과와 경영학과의 차이점은 프로그래밍뿐
179,4,2021-12-06,컴공 다음으로 산업공학과 개떡상한다 꼭 써라
180,4,2020-01-11,산업공학과 ㅁㅌㅊ냐?
181,4,2021-12-27,안전공학과 vs 산업경영공학과 어디가 취업 더 잘되냐구요.
182,4,2019-12-29,산업공학과 어떰
183,4,2021-03-30,본인 문과에 산업공학과 복전생인데
184,4,2022-01-08,산업공학과 >>경영학과
185,4,2021-11-13,현재 산업공학과 다니는데
186,4,2022-01-11,산업공학과 학벌 줫나본다는데.
187,4,2019-09-28,몇년전만 해도 산업공학과 취업 잘했는디
188,4,2022-01-01,산업공학과 << 학벌컷이 KY 
189,4,2021-12-29,공대중에 산업공학과 높음?
