,platform_num,date,content
25,7,2020-12-02,"{'reply': '장코너후자가 쉽지않을테니 사기업을 노리는게 낫군요ㅠㅠ', 'thread': '3-2'}"
26,7,2020-12-02,"{'reply': '안녕하세요!! 저도 같은 산업공학과를 전공하고 있는 학생입니다!제가 스마트팩토리 소프트웨어 국비지원교육에 관심을 가지고 있는데, 주변에는 경험자가 없어서현재 이수중이라는 얘기를 보고 댓글을 남기게 되었습니다!혹시 교육에 대한 질이나 만족도가 괜찮으셨는지 알 수 있을까요?또, 교육을 이수했다는 증명이 가능하여 취업이 활용 가능한지 여쭤봐도 될까요?  올리신 글과 관련한 내용이 아닌 질문을 드려 죄송합니다ㅠㅠ', 'thread': '4-0'}"
27,7,2020-12-02,"{'reply': 'Sap보다는 mes관련 교육으로 들으세요SAP은 IT분야가 더 가깝습니다', 'thread': '5-0'}"
28,7,2020-12-02,"{'reply': '조언 감사합니다!! 참고하겠습니다Mes관련 교육을 더 알아봐야겠어요!!', 'thread': '5-1'}"
29,7,2020-12-02,"{'reply': '산공과 졸업 후\n조폐공사 다니고 있습니다.\n\n지금정도면 매우충분해요\nncs공부만 하면될듯 합니다', 'thread': '6-0'}"
30,7,2020-12-02,"{'reply': '한국사만 좀 있으면 좋겠네용', 'thread': '6-1'}"
31,7,2020-12-02,"{'reply': '넹넹넹네네혹시 직무가 어디신지 알수 있을까요?? 정말 궁금합니다.. ㅠㅠㅠ', 'thread': '6-2'}"
32,7,2020-12-02,"{'reply': '장코너행정기술이요', 'thread': '6-3'}"
33,7,2020-12-02,"{'reply': '넹넹넹네네제가 정말 조폐공사에 대해 관심이 많아서 그러는데 오픈카톡으로 연락가능할까요?? 궁금한 것들좀 물어보고 싶습니다..', 'thread': '6-4'}"
34,7,2020-12-02,"{'reply': '장코너네\nhttps://open.kakao.com/o/gNmI3EOc', 'thread': '6-5'}"
35,7,2021-08-19,"{'reply': 'it는 산공을 거의 전공자로 보기 때문에 딱히 이점 가질 직무가 없습니다. 특정 전공에 이점을 준다면 컴공은 더 큰 이점을 가져갈 거고 그리 좋은 곳은 아닐겁니다', 'thread': '1-0'}"
36,7,2021-08-19,"{'reply': '그렇군요 답변 감사합니다', 'thread': '1-1'}"
37,7,2020-07-07,"{'reply': '경제다전공은 어떨까요..?', 'thread': '1-1'}"
38,7,2020-07-07,"{'reply': '산공괜찮을듯', 'thread': '2-0'}"
39,7,2020-07-07,"{'reply': '비슷한 말이구여 산업공학과 진출 분야는 많습니다. IT , 기계 , 전자 . 전기 .. 안 필요한데가 없습니다.', 'thread': '1-0'}"
40,7,2021-12-23,"{'reply': '개발🈷️', 'thread': '1-0'}"
41,7,2021-01-18,"{'reply': '어떤 개발이요?', 'thread': '1-1'}"
42,7,2021-01-18,"{'reply': '산공 전공자도 개발쪽 많이 가나요?', 'thread': '1-2'}"
43,7,2021-01-18,"{'reply': '말씀하신곳과 IT쪽으로 많이가죠. 다만 생관, 품질쪽으로 가려면 대부분 지방으로 가야한단걸 고려하세요. 그게 싫으시면 IT쪽 파시는걸 추천합니다. 은행쪽도 괜찮고요.', 'thread': '1-0'}"
44,7,2020-06-03,"{'reply': '전 SCM으로 왔습니다', 'thread': '2-0'}"
45,7,2020-06-03,"{'reply': 'scm관련해서도 흥미가 있는데 직무자체가 감소한다고 들어서 고민이 되네요 현직자의 입장에서 보실때 아직 도전할만 한가요 ?', 'thread': '2-1'}"
